tradeDate,buyReturn,holdReturn,netReturn,000001.SH,000300.SH,000905.SH,000016.SH
20161221,0.009279244,0.006560278,0.007919761,0.011138916,0.008903503,0.007453918,0.007759094
20161222,0.005143805,0.008993078,0.007068442,0.000678539,-0.00085783,-0.000916481,-0.002319336
20161223,-0.003170909,-0.006700555,-0.004935732,-0.009368896,-0.008415222,-0.009429932,-0.005916595
20161226,0.024067728,0.01252686,0.018297294,0.003990173,0.00447464,0.002031326,0.00712204
20161227,0.008105858,0.008153977,0.008129917,-0.002531052,-0.001811028,-0.000936508,-0.003376007
20161228,-0.001379998,-0.003654213,-0.002517105,-0.003990173,-0.004371643,-0.002960205,-0.00428009
20161229,-0.000792976,-0.00071444,-0.000753708,-0.001979828,-0.001249313,-0.002811432,-0.000908852
20161230,0.003874515,0.001675272,0.002774894,0.002435684,0.003734589,0.00176239,0.005184174
20170103,0.016430342,0.01336756,0.014898951,0.010398865,0.009712219,0.009124756,0.009178162
20170104,0.020467983,0.023259353,0.021863668,0.007293701,0.007804871,0.011695862,0.006202698
20170105,0.00612609,-0.000120471,0.003002809,0.002094269,-0.000155091,0.000721455,0.000206113
20170106,-0.006388339,-0.010690467,-0.008539403,-0.003503799,-0.005973816,-0.004322052,-0.00592041
20170109,0.013188871,-0.000330746,0.006429062,0.005363464,0.00484848,0.006874084,0.004070282
20170110,-0.002367422,-0.010212311,-0.006289866,-0.003015518,-0.001673698,-0.003349304,-0.002475739
20170111,-0.003352984,-0.016562273,-0.009957628,-0.007881165,-0.007080078,-0.009689331,-0.005241394
20170112,-0.007611449,-0.007729319,-0.007670384,-0.005569458,-0.005058289,-0.009338379,-0.002204895
20170113,-0.014723108,-0.024002367,-0.019362737,-0.002092361,0.000689507,-0.012466431,0.005512238
20170116,-0.040210007,-0.040539636,-0.040374821,-0.003000259,-0.000140548,-0.026382446,0.012710571
20170117,0.029990701,0.020584658,0.02528768,0.001723289,0.002080917,0.008430481,-0.003335953
20170118,0.010141891,0.005591003,0.007866447,0.001362801,0.003910065,-0.002214432,0.005657196
20170119,0.004857591,-0.002892258,0.000982667,-0.003763199,-0.003017426,-0.004104614,-0.00333786
20170120,0.032352716,0.024359964,0.02835634,0.007041931,0.00769043,0.012962341,0.005237579
20170123,0.009316797,0.015218443,0.01226762,0.004367828,0.002738953,0.00819397,-3.33E-05
20170124,0.003224775,-0.004828953,-0.000802089,0.001842499,0.00011003,-0.00111866,0.00226593
20170125,0.011704648,0.000949988,0.006327318,0.002227783,0.003404617,0.002319336,0.002666473
20170126,0.010095508,0.009532116,0.009813812,0.003051758,0.003570557,0.007141113,0.002258301
20170203,0.004404416,0.006904109,0.005654262,-0.006011963,-0.00692749,-0.002670288,-0.010169983
20170206,0.018282626,0.017809103,0.018045865,0.005355835,0.002590179,0.008399963,0.001699448
20170207,0.006002807,3.72E-05,0.003019984,-0.001234055,-0.002229691,-0.000530243,-0.002744675
20170208,0.015863865,0.0095437,0.012703782,0.004405975,0.00522995,0.005702972,0.003803253
20170209,0.011800752,0.013431331,0.012616042,0.005115509,0.003843307,0.006290436,0.003612518
20170210,0.005052359,-0.004154949,0.000448705,0.004245758,0.005062103,0.000936508,0.005641937
20170213,0.012802675,0.003255551,0.008029113,0.00630188,0.00667572,0.005134583,0.004695892
20170214,0.004084562,0.001294218,0.00268939,0.000338316,-0.000136971,0.00082159,-0.002433777
20170215,-0.003999987,-0.011452399,-0.007726193,-0.001535416,-0.0041008,-0.009910583,-0.000556946
20170216,0.011462901,0.009611294,0.010537097,0.005176544,0.005615234,0.007549286,0.001926422
20170217,-0.005409677,-0.008037793,-0.006723735,-0.008529663,-0.005664825,-0.008201599,-0.005912781
20170220,0.014848076,0.0083685,0.011608288,0.011833191,0.014602661,0.01235199,0.013298035
20170221,0.012779102,0.012705206,0.012742154,0.004123688,0.003292084,0.007732391,0.0011549
20170222,0.005842366,0.004923874,0.00538312,0.002426147,0.001991272,0.006183624,0.000545502
20170223,0.001095731,0.0006563,0.000876015,-0.003017426,-0.004707336,-3.58E-05,-0.004493713
20170224,0.006789313,0.005549749,0.006169531,0.000632763,0.000152111,0.000335455,0.001030922
20170227,0.001125679,-0.000733586,0.000196047,-0.007614136,-0.007949829,-0.008018494,-0.008079529
20170228,0.011695078,0.004765923,0.008230501,0.004047394,0.001911163,0.00415802,6.23E-05
20170301,0.009808708,-0.000727545,0.004540581,0.00160408,0.001629829,0.002584457,0.00051403
20170302,0.00056793,-0.005051235,-0.002241652,-0.005207062,-0.006748199,-0.005104065,-0.007171631
20170303,0.00483504,0.002816985,0.003826012,-0.003627777,-0.002105713,0.002830505,-0.003297806
20170306,0.016274616,0.017375174,0.016824895,0.004833221,0.005432129,0.009994507,0.001169205
20170307,0.009065575,0.00326883,0.006167202,0.002641678,0.002168655,0.000899792,0.002725601
20170308,0.001578193,-0.002410657,-0.000416232,-0.000537395,-0.001512527,-0.004001617,0.000755787
20170309,-0.000693327,-0.001631476,-0.001162402,-0.007381439,-0.006317139,-0.008880615,-0.004886627
20170310,0.004693557,-0.000930414,0.001881571,-0.001238823,0.000276566,0.001325607,-0.003118515
20170313,0.013489917,0.016102414,0.014796165,0.007553101,0.008811951,0.009300232,0.006694794
20170314,0.001426617,0.004330724,0.002878671,0.000711441,-0.000406265,-0.002214432,4.05E-06
20170315,0.005657234,-0.00014022,0.002758507,0.000750542,0.002010345,-0.001143456,0.001022339
20170316,0.012042443,0.012242571,0.012142507,0.008384705,0.005157471,0.008834839,0.00504303
20170317,-0.009981465,-0.007090151,-0.008535808,-0.009635925,-0.010253906,-0.009185791,-0.009384155
20170320,0.014571501,0.004118121,0.009344811,0.004127502,0.001105309,0.002328873,0.0013237
20170321,0.008885847,0.003617712,0.006251779,0.003322601,0.004852295,0.002708435,0.003007889
20170322,0.00408841,0.003283383,0.003685896,-0.005023956,-0.004699707,-0.002479553,-0.007888794
20170323,0.006833,0.002737564,0.004785282,0.001026154,0.003458023,0.001907349,0.003799438
20170324,0.006236976,0.005788197,0.006012587,0.00643158,0.007980347,0.00528717,0.007740021
20170327,0.003559859,0.000308037,0.001933948,-0.000761509,-0.003313065,-0.004673004,-0.000497341
20170328,0.006708935,0.001418672,0.004063803,-0.00428772,-0.002365112,-0.002660751,-0.00343132
20170329,-0.004581305,0.004470579,-5.54E-05,-0.003576279,-0.001330376,-0.002792358,-0.001536369
20170330,-0.017114959,-0.025962809,-0.021538884,-0.009590149,-0.008209229,-0.016174316,-0.002561569
20170331,0.006484784,0.002059401,0.004272093,0.003824234,0.00561142,0.004062653,0.005577087
20170405,0.027066172,0.02680845,0.026937311,0.014831543,0.013847351,0.021606445,0.010383606
20170406,0.00694116,0.008566241,0.007753701,0.003271103,0.002897263,0.003009796,0.002569199
20170407,0.00858565,-0.000861651,0.003862,0.001709938,0.000972271,0.002906799,-0.000885963
20170410,-0.008565355,-0.006390631,-0.007477993,-0.005241394,-0.003503799,-0.001852036,-0.003816605
20170411,0.013294636,0.016679089,0.014986862,0.00598526,0.003477097,0.009536743,0.00124073
20170412,-0.002091836,-0.016121142,-0.009106489,-0.004600525,-0.002243042,-0.007949829,-0.001362801
20170413,0.020823523,0.008520382,0.014671952,0.000650883,0.001461029,0.005966187,-0.004520416
20170414,-0.010866286,-0.006552276,-0.008709281,-0.009124756,-0.007987976,-0.01322937,-0.005313873
20170417,-0.024031179,-0.039225772,-0.031628475,-0.007362366,-0.001882553,-0.01096344,0.000850201
20170418,-0.009536791,-0.008934121,-0.009235456,-0.007896423,-0.004943848,-0.005947113,-0.008560181
20170419,0.014876332,0.010530285,0.012703309,-0.008140564,-0.004871368,-0.010528564,-0.005264282
20170420,-0.006428502,-0.019020459,-0.01272448,0.000445843,0.004547119,-0.000452518,0.004562378
20170421,-0.010494875,-0.007492177,-0.008993526,0.000331163,0.001513481,-0.007411957,0.005149841
20170424,-0.032728732,-0.037075192,-0.034901962,-0.013748169,-0.010246277,-0.025741577,-0.002447128
20170425,0.017228091,0.02412029,0.02067419,0.001608849,0.002832413,0.003576279,0.001200676
20170426,0.031949133,0.027935052,0.029942093,0.002002716,0.001223564,0.002586365,-0.000100672
20170427,0.024908899,0.014426276,0.019667588,0.003610611,0.000446081,0.002574921,0.003044128
20170428,0.01981688,0.00634754,0.01308221,0.00078392,-0.00202179,0.003158569,-0.00195694
20170502,0.012149213,0.019719684,0.015934449,-0.003469467,-0.003829956,0.000684738,-0.004367828
20170503,0.00436147,0.001491877,0.002926673,-0.002660751,-0.003925323,-0.002998352,-0.003005981
20170504,0.000938014,-0.008138211,-0.003600098,-0.002544403,-0.002561569,-0.003416061,-0.001859665
20170505,-0.004222621,-0.010676912,-0.007449767,-0.007778168,-0.006412506,-0.014022827,-0.002077103
20170508,-0.02123299,-0.017003527,-0.019118258,-0.007873535,-0.007019043,-0.018737793,0.00236702
20170509,0.026629268,0.018294208,0.022461738,0.000621796,-0.001870155,0.006103516,-0.00421524
20170510,-0.010376187,-0.022203077,-0.016289632,-0.009002686,-0.004425049,-0.020980835,0.003725052
20170511,0.031833164,0.002824836,0.017329,0.002855301,0.00567627,-0.002243042,0.00617981
20170512,0.006820668,0.012388294,0.009604481,0.007190704,0.008560181,-0.001507759,0.015457153
20170515,-0.005650864,0.002413555,-0.001618655,0.002178192,0.004081726,0.005069733,0.002653122
20170516,0.035571647,0.027763705,0.031667676,0.007358551,0.008666992,0.020568848,-0.000182509
20170517,0.012747853,0.014612137,0.013679995,-0.002737045,-0.005447388,0.002147675,-0.007457733
20170518,0.004974176,-0.009136249,-0.002081036,-0.004608154,-0.003475189,-0.008522034,-0.003725052
20170519,0.012153841,-0.006924237,0.002614802,0.000159144,0.001688004,-0.000221372,0.002933502
20170522,-0.026091447,-0.028860074,-0.02747576,-0.004837036,0.002170563,-0.014419556,0.008422852
20170523,-0.033209831,-0.047998688,-0.040604259,-0.004463196,0.003797531,-0.02104187,0.012702942
20170524,0.03615355,0.017838974,0.026996262,0.000695229,-7.93E-06,0.005962372,-0.001753807
20170525,0.013285484,0.016841242,0.015063363,0.014282227,0.017959595,0.008888245,0.027389526
20170526,0.002866064,-0.001380979,0.000742543,0.000716686,-0.001498222,-0.002370834,-0.000922203
20170531,-0.010780522,0.00057191,-0.005104306,0.002288818,0.003576279,-0.002197266,0.003181458
20170601,-0.035283896,-0.036643359,-0.035963628,-0.004669189,0.001389503,-0.019592285,0.007007599
20170602,0.036013597,0.031879023,0.03394631,0.000940323,-0.003210068,0.010948181,-0.008407593
20170605,0.014244071,0.019047267,0.016645669,-0.004470825,-0.005092621,0.007499695,-0.010147095
20170606,0.012633398,0.014099423,0.013366411,0.003387451,0.006954193,0.004421234,0.006389618
20170607,0.040003799,0.034313633,0.037158716,0.012313843,0.011734009,0.019424438,0.00730896
20170608,0.007270093,0.000869597,0.004069845,0.00318718,0.007671356,0.000665188,0.009262085
20170609,0.005857907,-0.004233999,0.000811954,0.002561569,0.004264832,0.001728058,0.004882813
20170612,-0.015359867,-0.029368285,-0.022364076,-0.00586319,-0.000497818,-0.011123657,0.000751972
20170613,0.030937769,0.017892315,0.024415042,0.004417419,0.002204895,0.013076782,-0.002389908
20170614,0.01586881,0.009889708,0.012879259,-0.007316589,-0.013114929,-0.002279282,-0.015037537
20170615,0.016462979,0.026843455,0.021653217,0.00057888,-0.001840591,0.009170532,-0.006195068
20170616,0.00419287,0.003848168,0.004020519,-0.002975464,-0.002841949,-0.001356125,-0.003730774
20170619,0.008360878,0.010852476,0.009606677,0.006790161,0.009918213,0.007385254,0.012771606
20170620,0.002791108,-0.002848037,-2.85E-05,-0.001386642,-0.002017975,0.001566887,-0.003900528
20170621,-0.000700878,-0.003054276,-0.001877577,0.005157471,0.011688232,0.001860619,0.009223938
20170622,-0.02023275,-0.024581505,-0.022407127,-0.002775192,0.000665188,-0.014122009,0.007774353
20170623,0.006886876,-0.000592571,0.003147152,0.003311157,0.009063721,0.003000259,0.004936218
20170626,0.01409372,0.01922164,0.01665768,0.008728027,0.012481689,0.016860962,0.005622864
